DATE ADDED TO CATALOG,PUBMED ID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,PLATFORM [SNPS PASSING QC],ASSOCIATION COUNT,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY,SUBMISSION DATE,STATISTICAL MODEL,BACKGROUND TRAIT,MAPPED BACKGROUND TRAIT,MAPPED BACKGROUND TRAIT URI,COHORT,FULL SUMMARY STATISTICS,SUMMARY STATS LOCATION,category,selection_reason,kidney_trait_hits,comparator_trait_hits,summary_stats_available,summary_stats_location,sample_size_combined
not yet curated,not yet curated,,not yet curated,not yet curated,,Genes & Health - Health research for South Asians - single variant GWAS results,Gestational [pregnancy-induced] oedema and proteinuria without hypertension (ICD10 O12),not yet curated,not yet curated,Illumina [37711928],not yet curated,not yet curated,not yet curated,GCST90728352,Genome-wide genotyping array,2026-01-05,ADD,,not yet curated,not yet curated,G&H,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90728001-GCST90729000/GCST90728352,kidney,proteinuria matched in DISEASE/TRAIT: Gestational [pregnancy-induced] oedema and proteinuria without hypertension (ICD10 O12),proteinuria,hypertension,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90728001-GCST90729000/GCST90728352,
not yet curated,not yet curated,,not yet curated,not yet curated,,Genes & Health - Health research for South Asians - single variant GWAS results,Microalbuminuria,not yet curated,not yet curated,Illumina [37710835],not yet curated,not yet curated,not yet curated,GCST90728460,Genome-wide genotyping array,2026-01-05,ADD,,not yet curated,not yet curated,G&H,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90728001-GCST90729000/GCST90728460,kidney,albuminuria matched in DISEASE/TRAIT: Microalbuminuria,albuminuria,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90728001-GCST90729000/GCST90728460,
not yet curated,not yet curated,,not yet curated,not yet curated,,Genes & Health - Health research for South Asians - single variant GWAS results,Proteinuria,not yet curated,not yet curated,Illumina [37710835],not yet curated,not yet curated,not yet curated,GCST90728465,Genome-wide genotyping array,2026-01-05,ADD,,not yet curated,not yet curated,G&H,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90728001-GCST90729000/GCST90728465,kidney,proteinuria matched in DISEASE/TRAIT: Proteinuria,proteinuria,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90728001-GCST90729000/GCST90728465,
not yet curated,not yet curated,,not yet curated,not yet curated,,Genes & Health - Health research for South Asians - single variant GWAS results,Unspecified kidney failure (ICD10 N19),not yet curated,not yet curated,Illumina [37711928],not yet curated,not yet curated,not yet curated,GCST90728291,Genome-wide genotyping array,2026-01-05,ADD,,not yet curated,not yet curated,G&H,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90728001-GCST90729000/GCST90728291,kidney,kidney_failure matched in DISEASE/TRAIT: Unspecified kidney failure (ICD10 N19),kidney_failure,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90728001-GCST90729000/GCST90728291,
not yet curated,not yet curated,,not yet curated,not yet curated,,Genes & Health - Health research for South Asians - single variant GWAS results,Urine Protein:Creatinine Ratio - max,not yet curated,not yet curated,Illumina [22080799],not yet curated,not yet curated,not yet curated,GCST90727717,Genome-wide genotyping array,2026-01-05,ADD,,not yet curated,not yet curated,G&H,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727717,kidney,serum_creatinine matched in DISEASE/TRAIT: Urine Protein:Creatinine Ratio - max; proteinuria matched in DISEASE/TRAIT: Urine Protein:Creatinine Ratio - max,proteinuria; serum_creatinine,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727717,
not yet curated,not yet curated,,not yet curated,not yet curated,,Genes & Health - Health research for South Asians - single variant GWAS results,Urine Protein:Creatinine Ratio - median,not yet curated,not yet curated,Illumina [22080799],not yet curated,not yet curated,not yet curated,GCST90727718,Genome-wide genotyping array,2026-01-05,ADD,,not yet curated,not yet curated,G&H,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727718,kidney,serum_creatinine matched in DISEASE/TRAIT: Urine Protein:Creatinine Ratio - median; proteinuria matched in DISEASE/TRAIT: Urine Protein:Creatinine Ratio - median,proteinuria; serum_creatinine,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727718,
not yet curated,not yet curated,,not yet curated,not yet curated,,Genes & Health - Health research for South Asians - single variant GWAS results,Urine Protein:Creatinine Ratio - min,not yet curated,not yet curated,Illumina [22080799],not yet curated,not yet curated,not yet curated,GCST90727719,Genome-wide genotyping array,2026-01-05,ADD,,not yet curated,not yet curated,G&H,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727719,kidney,serum_creatinine matched in DISEASE/TRAIT: Urine Protein:Creatinine Ratio - min; proteinuria matched in DISEASE/TRAIT: Urine Protein:Creatinine Ratio - min,proteinuria; serum_creatinine,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727719,
not yet curated,not yet curated,,not yet curated,not yet curated,,Genes & Health - Health research for South Asians - single variant GWAS results,Urine albumin creatinine ratio - max,not yet curated,not yet curated,Illumina [30282416],not yet curated,not yet curated,not yet curated,GCST90727711,Genome-wide genotyping array,2026-01-05,ADD,,not yet curated,not yet curated,G&H,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727711,kidney,serum_creatinine matched in DISEASE/TRAIT: Urine albumin creatinine ratio - max; uacr matched in DISEASE/TRAIT: Urine albumin creatinine ratio - max,serum_creatinine; uacr,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727711,
not yet curated,not yet curated,,not yet curated,not yet curated,,Genes & Health - Health research for South Asians - single variant GWAS results,Urine albumin creatinine ratio - median,not yet curated,not yet curated,Illumina [30282416],not yet curated,not yet curated,not yet curated,GCST90727712,Genome-wide genotyping array,2026-01-05,ADD,,not yet curated,not yet curated,G&H,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727712,kidney,serum_creatinine matched in DISEASE/TRAIT: Urine albumin creatinine ratio - median; uacr matched in DISEASE/TRAIT: Urine albumin creatinine ratio - median,serum_creatinine; uacr,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727712,
not yet curated,not yet curated,,not yet curated,not yet curated,,Genes & Health - Health research for South Asians - single variant GWAS results,Urine albumin creatinine ratio - min,not yet curated,not yet curated,Illumina [30282416],not yet curated,not yet curated,not yet curated,GCST90727713,Genome-wide genotyping array,2026-01-05,ADD,,not yet curated,not yet curated,G&H,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727713,kidney,serum_creatinine matched in DISEASE/TRAIT: Urine albumin creatinine ratio - min; uacr matched in DISEASE/TRAIT: Urine albumin creatinine ratio - min,serum_creatinine; uacr,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727713,
not yet curated,not yet curated,Lei Zhang,not yet curated,not yet curated,,A new robust and accurate two-sample Mendelian randomization method with a large number of genetic variants,creatinine,not yet curated,not yet curated,Affymetrix [17387684],not yet curated,not yet curated,not yet curated,GCST90301198,Genome-wide genotyping array,2023-11-23,linear mixed model,,not yet curated,not yet curated,UKBB,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301198,kidney,serum_creatinine matched in DISEASE/TRAIT: creatinine,serum_creatinine,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301198,
not yet curated,not yet curated,Lei Zhang,not yet curated,not yet curated,,A new robust and accurate two-sample Mendelian randomization method with a large number of genetic variants,creatinine,not yet curated,not yet curated,Affymetrix [17387684],not yet curated,not yet curated,not yet curated,GCST90301199,Genome-wide genotyping array,2023-11-23,linear mixed model,,not yet curated,not yet curated,UKBB,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301199,kidney,serum_creatinine matched in DISEASE/TRAIT: creatinine,serum_creatinine,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301199,
not yet curated,not yet curated,Catalin D Voinescu,not yet curated,not yet curated,,Neanderthal Sequence Introgression: The Case of Membranous Nephropathy,membranous nephropathy,not yet curated,not yet curated,Illumina [785064],not yet curated,not yet curated,not yet curated,GCST90302187,Genome-wide genotyping array,2023-12-21,additive model,,not yet curated,not yet curated,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302187,kidney,nephropathy matched in DISEASE/TRAIT: membranous nephropathy,nephropathy,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302187,
not yet curated,not yet curated,Axelle DURAND,not yet curated,not yet curated,,Novel genetic risk factors associated with pediatric proteinuria,urine protein /creatin ratio,not yet curated,not yet curated,Illumina [581],not yet curated,not yet curated,not yet curated,GCST90316497,Genome-wide genotyping array,2024-02-08,"Multivariate linear regression model adjusted for age, sex,body mass index and the first two principal components - Additive and recessive genetic models tested",CKD,not yet curated,not yet curated,"Wong CJ, Moxey-Mims M, Jerry-Fluker J, Warady BA, Furth SL. CKiD (CKD in Children) Prospective Cohort Study: A Review of Current Findings. Am J Kidney Dis. 2012;60(6):1002-1011. doi:10.1053/j.ajkd.2012.07.018",yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90316001-GCST90317000/GCST90316497,kidney,proteinuria matched in DISEASE/TRAIT: urine protein /creatin ratio,proteinuria,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90316001-GCST90317000/GCST90316497,
